2014-01-31_JA-america.tsv:History_3-rdf.tsv	Braatz, T.	3	91	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN160728514	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 91(3), 1060. (2004)	Speroff, Carlos Montezuma, M.D., A Yavapai American Hero: The Life and Times of an American Indian, 1866-1923	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	2004
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Malcomson, R.	4	15	NORTHERN MARINER	1183-112X	(Uk)RN189184618	NORTHERN MARINER 15(4), 53. (2005)	Robert J. Allison, Stephen Decatur. American Naval Hero, 1779-1820	xxc	eng	CNRS	2005
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Dudley, W. G.	2	93	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN194670471	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 93(2), 507. (2006)	Allison, Stephen Decatur: American Naval Hero, 1779-1820	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	2006
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Courtwright, D. T.	2	93	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN194671128	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 93(2), 563. (2006)	Lewis, Eddie Rickenbacker: An American Hero in the Twentieth Century	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	2006
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Kilpatrick, J.	3	93	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN199994084	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 93(3), 853. (2006)	Sayre, The Indian Chief as Tragic Hero: Native Resistance and the Literatures of America, from Moctezuma to Tecumseh	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	2006
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Trachtenberg, A.	1	112	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN204440807	AMERICAN HISTORICAL REVIEW 112(1), 161. (2007)	Gordon M. Sayre. The Indian Chief as Tragic Hero: Native Resistance and the Literatures of America, from Moctezuma to Tecumesh	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	2007
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Hattendorf, J. B.	2	29	INTERNATIONAL HISTORY REVIEW	0707-5332	(Uk)RN210979139	INTERNATIONAL HISTORY REVIEW 29(2), 370. (2007)	Allison, Robert J. Stephen Decatur: American Naval Hero, 1779-1820	xxc	eng	INTERNATIONAL HISTORY REVIEW	2007
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Skidmore, T.E.	4	38	JOURNAL OF INTERDISCIPLINARY HISTORY	0022-1953	(Uk)RN226686410	JOURNAL OF INTERDISCIPLINARY HISTORY 38(4), 637. (2008)	Heroes and Hero Cults in Latin America edited by Samuel Brunk and Ben Fallow	xxu	eng	THE JOURNAL OF INTERDISCIPLINARY HISTORY	2008
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Crider, G.S.	1	84	NEW MEXICO HISTORICAL REVIEW	0028-6206	(Uk)RN246883218	NEW MEXICO HISTORICAL REVIEW 84(1), 178. (2009)	Samuel Brunk and Ben Fallaw, eds., Heroes and Hero Cults in Latin America	xxu	eng	UNIVERSITY OF NEW MEXICO	2009
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Mitton, S.H.	2	96	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN257941721	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 96(2), 564. (2009)	Teal, Hero of Hispaniola: America's First Black Diplomat, Ebenezer D. Bassett	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	2009
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Belohlavek, J.M.	2	43	HISTORY TEACHER -LONG BEACH-	0018-2745	(Uk)RN266581827	HISTORY TEACHER -LONG BEACH- 43(2), 312. (2010)	Waugh, Joan. Ulysses S. Grant: American Hero, American Myth	xxu	eng	THE UNIVERSITY PRESS	2010
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Cullen, J.	1	97	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN274661506	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 97(1), 187. (2010)	Waugh, U. S. Grant: American Hero, American Myth	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	2010
2014-01-31_JA-america.tsv:History_3-rdf.tsv	Conrad, D.M.	2	135	PENNSYLVANIA MAGAZINE OF HISTORY AND BIOGRAPHY	0031-4587	(Uk)RN291007634	PENNSYLVANIA MAGAZINE OF HISTORY AND BIOGRAPHY 135(2), 204. (2011)	McGrath, John Barry: An American Hero in the Age of Sail	xxu	eng	The Historical Society of Pennsylvania	2011
